UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO Type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000000139;WILMAR GROUP;REKA HALUS SDN BHD;REKA HALUS;RSPO Certified;RSPO Certified, MB;07/10/2024;5,766708;117,463737;5.766708, 117.463737;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000143;REA HOLDINGS;REA KALTIM;PERDANA PALM OIL MILL;RSPO Certified;RSPO Certified, MB;07/10/2024;0,25854;116,149918;0.25854, 116.149918;IDN;Indonesia;Kalimantan Timur;Kutai Kartanegara;1-Fully Verified;REA KALTIM PLANTATION PERDANA
PO1000000144;WILMAR GROUP;MUSTIKA SEMBULUH;MUSTIKA SEMBULUH 1;RSPO Certified;RSPO Certified, MB;07/10/2024;-2,5905;112,511283;-2.5905, 112.511283;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000146;WILMAR GROUP;KERRY SAWIT INDONESIA;KERRY SAWIT INDONESIA 1;RSPO Certified;RSPO Certified, MB;07/10/2024;-2,784633;112,509533;-2.784633, 112.509533;IDN;Indonesia;Kalimantan Tengah;Seruyan;1-Fully Verified;
PO1000000148;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;UKUI I;RSPO Certified;RSPO Certified, MB;07/10/2024;-0,2232;102,095;-0.2232, 102.095;IDN;Indonesia;Riau;Pelalawan;1-Fully Verified;
PO1000000155;SIME DARBY;SIME DARBY PLANTATION BHD;BUKIT KERAYONG (SOU 7);RSPO Certified;RSPO Certified, MB;07/10/2024;3,186861;101,374889;3.186861, 101.374889;MYS;Malaysia;Selangor;Kuala Selangor;2-High Confidence;
PO1000000156;SIME DARBY;SIME DARBY PLANTATION BHD;JABOR (SOU 12);RSPO Certified;RSPO Certified, MB;07/10/2024;3,960833;103,308889;3.960833, 103.308889;MYS;Malaysia;Trengganu;Kemaman;1-Fully Verified;
PO1000000157;SIME DARBY;SIME DARBY PLANTATION BHD;TENNAMARAM (SOU 6);RSPO Certified;RSPO Certified, IP, MB;07/10/2024;3,395639;101,417614;3.395639, 101.417614;MYS;Malaysia;Selangor;Kuala Selangor;1-Fully Verified;
PO1000000169;WILMAR GROUP;SABAHMAS PLANTATION SDN BHD;RIBUBONUS;RSPO Certified;RSPO Certified, MB;07/10/2024;5,686858;117,09226;5.686858, 117.09226;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000170;MUSIM MAS;MAJU ANEKA SAWIT;MAJU ANEKA SAWIT;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,478167;112,647611;-2.478167, 112.647611;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000180;MUSIM MAS;BERKAT SAWIT SEJATI;BERKAT SAWIT SEJATI;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,319278;103,711639;-2.3192778, 103.7116389;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;1-Fully Verified;
